measures,,ID,countx,Repeats or deletes,Data Name,Target No.,Group Traits,L*(D65),a*(D65),b*(D65),dL*(D65),da*(D65),db*(D65),dE*ab(D65),Judgement,360nm,370nm,380nm,390nm,400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm,710nm,720nm,730nm,740nm,ID,count,Idx,countx
28,Cheek_L,270,6,,270_#0006,------,SCE,65.12,12.83,15.75,------,------,------,------,------,18.22,18.22,18.22,18.22,18.22,18.26,18.28,19.23,21.37,23.88,25.88,27.27,28.46,29.71,30.9,31.69,31.23,29.75,28.75,29.41,30.39,29.69,30.62,38.18,46.98,52.33,55.5,57.21,58.55,59.56,60.27,61.09,61.89,62.58,62.99,62.99,62.99,62.99,62.99,270,6,270,6
28,Cheek_R,270,7,,270_#0007,------,SCE,65.65,11.1,16.25,------,------,------,------,------,18.11,18.11,18.11,18.11,18.11,18.12,18.13,19.07,21.43,24.18,26.28,27.72,28.92,30.2,31.53,32.37,32.1,30.87,29.99,30.57,31.55,31.06,32.15,39.08,46.72,51.36,54.12,55.69,56.84,57.72,58.42,59.19,59.88,60.51,60.88,60.88,60.88,60.88,60.88,270,7,270,7
28,Forehead,270,8,,270_#0008,------,SCE,63.86,11.25,15.04,------,------,------,------,------,18.13,18.13,18.13,18.13,18.13,17.23,16.75,17.7,20.28,23.14,25.37,26.8,27.95,29.23,30.48,31.08,30.36,28.8,27.76,27.95,28.63,28.33,29.34,35.77,43.32,48.62,51.93,53.77,55.1,56.13,56.87,57.74,58.63,59.4,59.89,59.89,59.89,59.89,59.89,270,8,270,8
28,Palm,270,9,,270_#0009,------,SCE,66.09,9.76,14.62,------,------,------,------,------,18.98,18.98,18.98,18.98,18.98,17.6,17.2,18.23,21.08,25.52,29.16,31.27,32.59,33.72,34.72,35.12,33.99,31.69,29.94,30.11,30.86,29.96,30.84,37.77,46.38,52.2,55.57,57.23,58.43,59.24,59.69,60.16,60.61,60.96,60.99,60.99,60.99,60.99,60.99,270,9,270,9
28,Forearm_inner,270,10,,270_#0010,------,SCE,68.2,6.1,13.1,------,------,------,------,------,21.59,21.59,21.59,21.59,21.59,20.77,20.19,20.65,23.3,28.64,33.19,35.36,36.54,37.48,38.08,38.08,37.28,35.71,34,33.43,33.81,34.11,35.52,40.47,46.83,51.29,53.81,55.01,55.8,56.36,56.79,57.33,57.89,58.38,58.65,58.65,58.65,58.65,58.65,270,10,270,10
28,Tricep,270,11,,270_#0011,------,SCE,67.11,7.63,13.38,------,------,------,------,------,20.95,20.95,20.95,20.95,20.95,20.28,19.89,20.52,22.93,27.2,30.84,32.81,34.18,35.35,36.23,36.51,35.63,33.76,32.18,31.98,32.46,32.25,33.46,39.18,46.32,51.27,53.78,55,55.77,56.34,56.73,57.23,57.71,58.14,58.29,58.29,58.29,58.29,58.29,270,11,270,11
28,Shoulder,270,12,,270_#0012,------,SCE,69.7,6.91,16.36,------,------,------,------,------,21.2,21.2,21.2,21.2,21.2,20.93,20.91,22.07,24.97,28.53,31.06,32.72,34.2,35.76,37.31,38.41,38.36,37.29,36.44,36.89,37.77,37.55,38.68,44.48,50.58,54.12,56.11,57.18,57.97,58.59,59.03,59.53,59.94,60.27,60.41,60.41,60.41,60.41,60.41,270,12,270,12
28,Cheek_L,270,13,,270_#0013,------,SCE,65.28,12.51,16.02,------,------,------,------,------,18.14,18.14,18.14,18.14,18.14,18.14,18.12,19.04,21.24,23.85,25.96,27.4,28.62,29.89,31.12,31.91,31.46,30.01,29.01,29.61,30.63,30.02,31,38.4,47.02,52.24,55.45,57.2,58.52,59.55,60.32,61.12,61.93,62.6,63.03,63.03,63.03,63.03,63.03,270,13,270,13
28,Cheek_R,270,14,,270_#0014,------,SCE,64.97,12.37,16.14,------,------,------,------,------,17.61,17.61,17.61,17.61,17.61,17.59,17.6,18.54,20.78,23.5,25.66,27.11,28.37,29.62,30.86,31.63,31.17,29.65,28.56,29.26,30.29,29.53,30.56,38.16,46.68,51.79,54.76,56.4,57.63,58.57,59.29,60.07,60.78,61.41,61.81,61.81,61.81,61.81,61.81,270,14,270,14
28,Forehead,270,15,,270_#0015,------,SCE,63.59,11.83,15.62,------,------,------,------,------,17.6,17.6,17.6,17.6,17.6,16.69,16.22,17.14,19.63,22.51,24.77,26.26,27.43,28.71,30.02,30.66,29.94,28.3,27.21,27.43,28.18,27.91,28.98,35.67,43.38,48.69,52.24,54.21,55.66,56.78,57.61,58.59,59.57,60.44,60.96,60.96,60.96,60.96,60.96,270,15,270,15
28,Palm,270,16,,270_#0016,------,SCE,65.14,9.78,12.76,------,------,------,------,------,19.95,19.95,19.95,19.95,19.95,18.68,18.2,18.92,21.32,25.49,29.17,31.12,32.32,33.24,33.98,34.11,32.87,30.66,28.95,28.89,29.42,28.77,29.58,35.94,44.37,50.31,53.56,55.23,56.37,57.15,57.56,58.04,58.46,58.8,58.85,58.85,58.85,58.85,58.85,270,16,270,16
28,Forearm_inner,270,17,,270_#0017,------,SCE,68.22,5.77,13.2,------,------,------,------,------,21.34,21.34,21.34,21.34,21.34,20.56,20.06,20.57,23.26,28.59,33.18,35.36,36.56,37.53,38.09,38.13,37.36,35.79,34.13,33.58,33.98,34.25,35.71,40.64,46.82,51.06,53.36,54.45,55.17,55.67,56.02,56.55,57.01,57.44,57.71,57.71,57.71,57.71,57.71,270,17,270,17
28,Tricep,270,18,,270_#0018,------,SCE,66.86,7.59,13.17,------,------,------,------,------,20.83,20.83,20.83,20.83,20.83,20.17,19.84,20.54,23.01,27.12,30.59,32.5,33.87,35.02,35.89,36.18,35.3,33.44,31.9,31.81,32.31,32.01,33.11,38.75,45.79,50.68,53.2,54.44,55.23,55.83,56.22,56.76,57.25,57.7,57.86,57.86,57.86,57.86,57.86,270,18,270,18
28,Shoulder,270,19,,270_#0019,------,SCE,70.36,6.49,16.89,------,------,------,------,------,21.47,21.47,21.47,21.47,21.47,21.3,21.29,22.43,25.36,28.94,31.46,33.06,34.55,36.16,37.8,38.98,39.11,38.31,37.72,38.17,39.01,38.94,40.13,45.62,51.34,54.71,56.53,57.54,58.31,58.93,59.36,59.85,60.25,60.59,60.71,60.71,60.71,60.71,60.71,270,19,270,19
28,Cheek_L,270,20,,270_#0020,------,SCE,65.85,12.04,15.97,------,------,------,------,------,18.59,18.59,18.59,18.59,18.59,18.63,18.67,19.63,21.92,24.51,26.55,27.95,29.15,30.42,31.65,32.48,32.16,30.82,29.91,30.6,31.6,30.96,31.93,39.27,47.62,52.7,55.65,57.28,58.52,59.52,60.23,61.02,61.75,62.39,62.77,62.77,62.77,62.77,62.77,270,20,270,20
28,Cheek_R,270,21,,270_#0021,------,SCE,64.67,12.28,16.12,------,------,------,------,------,17.37,17.37,17.37,17.37,17.37,17.38,17.4,18.34,20.57,23.26,25.35,26.75,27.96,29.19,30.42,31.2,30.8,29.39,28.37,28.98,29.96,29.35,30.34,37.66,46.02,51.1,54.1,55.73,56.95,57.89,58.61,59.41,60.14,60.72,61.12,61.12,61.12,61.12,61.12,270,21,270,21
28,Forehead,270,22,,270_#0022,------,SCE,63.9,11.59,15.56,------,------,------,------,------,17.91,17.91,17.91,17.91,17.91,16.96,16.49,17.43,19.98,22.85,25.14,26.59,27.73,29.04,30.37,31.02,30.31,28.72,27.67,27.89,28.63,28.36,29.44,36.06,43.65,48.97,52.44,54.34,55.79,56.86,57.65,58.6,59.53,60.34,60.83,60.83,60.83,60.83,60.83,270,22,270,22
28,Palm,270,23,,270_#0023,------,SCE,66.39,9.85,13.55,------,------,------,------,------,20.54,20.54,20.54,20.54,20.54,19.19,18.79,19.81,22.57,26.53,29.76,31.68,32.9,34.01,35.01,35.4,34.3,32.07,30.49,30.74,31.42,30.46,31.15,37.99,46.61,52.4,55.66,57.3,58.47,59.26,59.69,60.09,60.44,60.75,60.73,60.73,60.73,60.73,60.73,270,23,270,23
28,Forearm_inner,270,24,,270_#0024,------,SCE,68.15,6.13,12.88,------,------,------,------,------,21.66,21.66,21.66,21.66,21.66,20.84,20.24,20.63,23.2,28.63,33.46,35.66,36.76,37.64,38.09,37.98,37.18,35.68,34.02,33.28,33.53,34,35.48,40.16,46.51,51.28,53.9,55.12,55.96,56.57,57,57.6,58.17,58.7,59.02,59.02,59.02,59.02,59.02,270,24,270,24
28,Tricep,270,25,,270_#0025,------,SCE,67.24,7.5,13.23,------,------,------,------,------,21.17,21.17,21.17,21.17,21.17,20.51,20.09,20.71,23.13,27.46,31.14,33.13,34.42,35.55,36.36,36.59,35.76,34.02,32.47,32.21,32.66,32.56,33.75,39.22,46.23,51.22,53.79,55.06,55.88,56.46,56.91,57.43,57.94,58.39,58.59,58.59,58.59,58.59,58.59,270,25,270,25
28,Shoulder,270,26,,270_#0026,------,SCE,69.5,7.16,16.8,------,------,------,------,------,20.57,20.57,20.57,20.57,20.57,20.44,20.54,21.76,24.63,27.98,30.4,32.05,33.59,35.19,36.8,37.95,37.93,36.83,36.05,36.72,37.68,37.28,38.38,44.48,50.65,54.11,55.94,57,57.78,58.43,58.87,59.38,59.79,60.11,60.25,60.25,60.25,60.25,60.25,270,26,270,26
28,Cheek_L,270,27,,270_#0027,------,SCE,65.6,11.87,15.88,------,------,------,------,------,18.35,18.35,18.35,18.35,18.35,18.4,18.46,19.43,21.67,24.32,26.37,27.79,28.98,30.25,31.49,32.29,31.94,30.58,29.59,30.29,31.34,30.67,31.58,38.84,47.1,52.03,55.05,56.69,57.98,58.93,59.66,60.44,61.17,61.8,62.21,62.21,62.21,62.21,62.21,270,27,270,27
28,Cheek_R,270,28,,270_#0028,------,SCE,65.53,11.28,16.68,------,------,------,------,------,17.56,17.56,17.56,17.56,17.56,17.63,17.68,18.64,20.96,23.79,25.99,27.45,28.66,29.98,31.27,32.13,31.89,30.64,29.68,30.38,31.45,30.88,31.99,39.13,46.89,51.41,54.2,55.71,56.93,57.83,58.53,59.31,59.99,60.58,60.99,60.99,60.99,60.99,60.99,270,28,270,28
28,Forehead,270,29,,270_#0029,------,SCE,64.16,11.84,15.66,------,------,------,------,------,18.08,18.08,18.08,18.08,18.08,17.11,16.65,17.62,20.18,23.04,25.31,26.79,27.96,29.28,30.63,31.3,30.58,28.93,27.88,28.11,28.85,28.53,29.61,36.43,44.21,49.74,53.26,55.17,56.58,57.69,58.47,59.47,60.36,61.19,61.69,61.69,61.69,61.69,61.69,270,29,270,29
28,Palm,274,2,,274_#0002,------,SCE,63.8,12.37,16.75,------,------,------,------,,15.81,15.81,15.81,15.81,15.81,14.81,14.62,15.71,18.44,21.94,24.74,26.8,28.37,29.79,31.31,32.19,30.9,27.92,26,26.87,28.09,26.41,27.13,36.13,45.93,51.66,54.71,56.36,57.47,58.32,58.75,59.21,59.55,59.85,59.84,59.84,59.84,59.84,59.84,274,2,274,2
28,Forearm_inner,274,3,,274_#0003,------,SCE,68.24,5.03,14.67,------,------,------,------,,20.7,20.7,20.7,20.7,20.7,20.14,19.75,20.37,23.11,27.97,31.62,33.44,34.59,35.71,36.8,37.37,37.16,36.18,34.93,34.6,35.15,35.52,36.94,41.35,46.52,49.71,51.66,52.62,53.28,53.77,54.1,54.58,55.02,55.42,55.59,55.59,55.59,55.59,55.59,274,3,274,3
28,Tricep,274,4,,274_#0004,------,SCE,67.13,5.42,16.68,------,------,------,------,,17.73,17.73,17.73,17.73,17.73,17.65,17.55,18.25,20.88,25.35,28.92,30.83,32.1,33.38,34.58,35.27,35.24,34.55,33.69,33.34,33.8,34.5,36.16,40.2,45,48.5,50.39,51.48,52.26,52.97,53.52,54.18,54.78,55.31,55.6,55.6,55.6,55.6,55.6,274,4,274,4
28,Shoulder,274,5,,274_#0005,------,SCE,63.36,8.09,20.7,------,------,------,------,,13.55,13.55,13.55,13.55,13.55,13.95,14.31,15.28,17.26,19.58,21.29,22.55,23.72,25.04,26.52,27.82,28.62,28.92,29.27,30.1,31.13,31.66,33.08,37.2,41.26,43.84,45.5,46.65,47.63,48.51,49.19,49.94,50.57,51.12,51.48,51.48,51.48,51.48,51.48,274,5,274,5
28,Cheek_L,274,6,,274_#0006,------,SCE,64.39,12.2,15.6,------,------,------,------,,18.08,18.08,18.08,18.08,18.08,17.97,17.84,18.62,20.78,23.37,25.29,26.58,27.49,28.49,29.6,30.34,30.06,28.98,28.28,29.01,30.04,29.5,30.69,37.98,45.74,50.01,52.51,53.94,54.96,55.76,56.4,57.07,57.66,58.2,58.47,58.47,58.47,58.47,58.47,274,6,274,6
28,Cheek_R,274,7,,274_#0007,------,SCE,64.57,12.05,15.54,------,------,------,------,,18.37,18.37,18.37,18.37,18.37,18.08,17.87,18.58,20.76,23.57,25.66,26.98,27.93,28.97,30.11,30.84,30.48,29.22,28.32,29.02,30.09,29.47,30.72,38.28,46.15,50.42,52.86,54.2,55.12,55.86,56.43,57.05,57.55,58,58.24,58.24,58.24,58.24,58.24,274,7,274,7
28,Forehead,274,8,,274_#0008,------,SCE,62.75,12.58,16.19,------,------,------,------,,17.57,17.57,17.57,17.57,17.57,16.84,16.34,16.97,19.01,21.35,23.19,24.42,25.34,26.57,28.04,28.97,28.58,27.34,26.56,26.7,27.39,27.41,28.68,35.11,42.6,47.7,50.98,52.87,54.29,55.41,56.23,57.18,58.07,58.83,59.3,59.3,59.3,59.3,59.3,274,8,274,8
28,Palm,274,9,,274_#0009,------,SCE,63.93,12.18,16.23,------,------,------,------,,16.42,16.42,16.42,16.42,16.42,15.39,15.12,16.13,18.79,22.4,25.29,27.24,28.63,29.96,31.37,32.17,30.99,28.34,26.52,27.15,28.18,26.8,27.51,35.77,45.44,51.48,54.72,56.43,57.61,58.45,58.95,59.42,59.83,60.15,60.18,60.18,60.18,60.18,60.18,274,9,274,9
28,Forearm_inner,274,10,,274_#0010,------,SCE,66.77,5.83,14.52,------,------,------,------,,19.19,19.19,19.19,19.19,19.19,18.66,18.3,18.78,21.28,26.23,30.34,32.3,33.46,34.48,35.35,35.69,35.26,34.03,32.58,32.08,32.56,33.02,34.5,38.98,44.65,48.46,50.75,51.92,52.7,53.32,53.77,54.34,54.92,55.39,55.62,55.62,55.62,55.62,55.62,274,10,274,10
28,Tricep,274,11,,274_#0011,------,SCE,66.21,5.95,16.09,------,------,------,------,,17.29,17.29,17.29,17.29,17.29,17.17,17.06,17.66,20.07,24.6,28.49,30.46,31.68,32.83,33.85,34.35,34.16,33.3,32.2,31.68,32.07,32.85,34.55,38.66,43.92,47.73,49.82,50.98,51.77,52.45,53.01,53.66,54.29,54.85,55.13,55.13,55.13,55.13,55.13,274,11,274,11
28,Shoulder,274,12,,274_#0012,------,SCE,63.42,7.93,20.77,------,------,------,------,,13.6,13.6,13.6,13.6,13.6,14.02,14.42,15.35,17.27,19.57,21.3,22.53,23.69,24.98,26.47,27.76,28.64,29.05,29.45,30.25,31.31,31.93,33.36,37.32,41.2,43.64,45.29,46.44,47.4,48.27,48.99,49.72,50.33,50.89,51.27,51.27,51.27,51.27,51.27,274,12,274,12
28,Cheek_L,274,13,,274_#0013,------,SCE,64.25,12.12,15.56,------,------,------,------,,17.96,17.96,17.96,17.96,17.96,17.8,17.69,18.49,20.63,23.24,25.22,26.51,27.39,28.42,29.52,30.21,29.93,28.84,28.15,28.87,29.88,29.33,30.48,37.71,45.4,49.75,52.28,53.65,54.67,55.51,56.14,56.83,57.41,57.92,58.21,58.21,58.21,58.21,58.21,274,13,274,13
28,Cheek_R,274,14,,274_#0014,------,SCE,64.45,11.98,15.43,------,------,------,------,,18.39,18.39,18.39,18.39,18.39,18.22,18.07,18.75,20.88,23.48,25.46,26.74,27.68,28.74,29.86,30.63,30.32,29.09,28.3,29.03,30.11,29.46,30.66,38.11,45.84,50.07,52.42,53.71,54.63,55.41,55.96,56.59,57.11,57.55,57.82,57.82,57.82,57.82,57.82,274,14,274,14
28,Forehead,274,15,,274_#0015,------,SCE,61.84,12.46,16.22,------,------,------,------,,16.45,16.45,16.45,16.45,16.45,15.85,15.48,16.12,18.12,20.49,22.37,23.63,24.59,25.75,27.18,28.05,27.63,26.36,25.48,25.7,26.46,26.37,27.54,33.95,41.3,46.09,49.37,51.25,52.69,53.84,54.67,55.64,56.5,57.27,57.76,57.76,57.76,57.76,57.76,274,15,274,15
28,Palm,274,16,,274_#0016,------,SCE,65.39,10.17,15.52,------,------,------,------,,18.17,18.17,18.17,18.17,18.17,17.08,16.8,17.9,20.73,24.38,27.15,29,30.31,31.61,33.07,33.94,33,30.7,29.14,29.66,30.58,29.39,30.08,37.54,46.07,51.34,54.23,55.83,56.9,57.68,58.16,58.57,58.9,59.2,59.19,59.19,59.19,59.19,59.19,274,16,274,16
28,Forearm_inner,274,17,,274_#0017,------,SCE,66.48,5.84,14.15,------,------,------,------,,19.32,19.32,19.32,19.32,19.32,18.78,18.39,18.83,21.29,26.16,30.2,32.13,33.25,34.21,35.03,35.31,34.87,33.7,32.32,31.81,32.15,32.61,34.06,38.38,43.98,48.02,50.26,51.43,52.18,52.8,53.23,53.85,54.42,54.92,55.18,55.18,55.18,55.18,55.18,274,17,274,17
28,Tricep,274,18,,274_#0018,------,SCE,66.14,6.24,16.48,------,------,------,------,,16.97,16.97,16.97,16.97,16.97,16.9,16.82,17.44,19.84,24.32,28.11,30.04,31.28,32.46,33.52,34.06,33.93,33.08,32.06,31.62,32.05,32.77,34.46,38.76,44.09,47.97,50,51.12,51.95,52.64,53.18,53.84,54.46,55,55.31,55.31,55.31,55.31,55.31,274,18,274,18
28,Shoulder,274,19,,274_#0019,------,SCE,63.39,7.77,20.84,------,------,------,------,,13.55,13.55,13.55,13.55,13.55,14,14.38,15.32,17.26,19.49,21.21,22.45,23.56,24.89,26.39,27.7,28.61,29.1,29.51,30.26,31.32,32.04,33.45,37.18,40.95,43.29,45.06,46.24,47.22,48.14,48.85,49.61,50.24,50.82,51.22,51.22,51.22,51.22,51.22,274,19,274,19
28,Cheek_L,274,20,,274_#0020,------,SCE,64.17,12.39,15.79,------,------,------,------,,17.75,17.75,17.75,17.75,17.75,17.64,17.58,18.4,20.54,23.05,24.92,26.19,27.08,28.13,29.25,30.01,29.74,28.65,27.94,28.74,29.85,29.25,30.39,37.84,45.66,49.8,52.32,53.69,54.77,55.59,56.21,56.89,57.46,57.99,58.25,58.25,58.25,58.25,58.25,274,20,274,20
28,Cheek_R,274,21,,274_#0021,------,SCE,64.47,12.11,15.59,------,------,------,------,,18.24,18.24,18.24,18.24,18.24,18.02,17.84,18.59,20.78,23.45,25.42,26.72,27.69,28.77,29.93,30.7,30.37,29.07,28.21,28.97,30.06,29.36,30.56,38.2,46.1,50.38,52.69,54.03,54.91,55.65,56.23,56.83,57.32,57.78,57.99,57.99,57.99,57.99,57.99,274,21,274,21
28,Forehead,274,22,,274_#0022,------,SCE,61.73,13.03,16.03,------,------,------,------,,16.58,16.58,16.58,16.58,16.58,15.95,15.54,16.17,18.15,20.49,22.33,23.6,24.53,25.71,27.1,27.92,27.46,26.1,25.2,25.41,26.12,26,27.12,33.65,41.35,46.58,49.94,51.92,53.39,54.58,55.4,56.38,57.27,58.05,58.55,58.55,58.55,58.55,58.55,274,22,274,22
28,Palm,274,23,,274_#0023,------,SCE,65.58,10.45,15.38,------,------,------,------,,18.57,18.57,18.57,18.57,18.57,17.47,17.18,18.29,21.09,24.64,27.35,29.2,30.53,31.82,33.29,34.17,33.22,30.87,29.26,29.83,30.78,29.52,30.17,37.77,46.5,51.91,54.87,56.54,57.67,58.48,58.95,59.36,59.7,59.96,59.91,59.91,59.91,59.91,59.91,274,23,274,23
28,Forearm_inner,274,24,,274_#0024,------,SCE,66.39,5.99,14.38,------,------,------,------,,18.96,18.96,18.96,18.96,18.96,18.41,17.97,18.44,20.87,25.86,30.11,32.08,33.21,34.16,34.93,35.19,34.72,33.5,32.12,31.52,31.85,32.39,33.92,38.35,44.06,48.21,50.43,51.55,52.33,52.94,53.39,53.96,54.55,55.05,55.33,55.33,55.33,55.33,55.33,274,24,274,24
28,Tricep,274,25,,274_#0025,------,SCE,66.52,5.66,16.52,------,------,------,------,,17.36,17.36,17.36,17.36,17.36,17.39,17.36,18.07,20.51,24.81,28.25,30.07,31.29,32.5,33.66,34.36,34.39,33.74,32.91,32.61,33.06,33.74,35.34,39.37,44.17,47.61,49.55,50.64,51.43,52.1,52.62,53.28,53.89,54.43,54.74,54.74,54.74,54.74,54.74,274,25,274,25
28,Shoulder,274,26,,274_#0026,------,SCE,63.4,7.76,20.87,------,------,------,------,,13.51,13.51,13.51,13.51,13.51,13.96,14.36,15.32,17.26,19.49,21.2,22.43,23.56,24.87,26.38,27.69,28.62,29.11,29.53,30.3,31.34,32.1,33.51,37.18,40.94,43.26,45.03,46.24,47.26,48.16,48.89,49.65,50.32,50.89,51.26,51.26,51.26,51.26,51.26,274,26,274,26
28,Cheek_L,274,27,,274_#0027,------,SCE,64.02,12.38,15.57,------,------,------,------,,17.75,17.75,17.75,17.75,17.75,17.65,17.57,18.39,20.52,22.99,24.92,26.16,27.1,28.11,29.2,29.93,29.65,28.48,27.72,28.51,29.6,29,30.13,37.57,45.42,49.61,52.08,53.44,54.47,55.28,55.88,56.54,57.11,57.6,57.87,57.87,57.87,57.87,57.87,274,27,274,27
28,Cheek_R,274,28,,274_#0028,------,SCE,64.56,12.46,15.72,------,------,------,------,,18.31,18.31,18.31,18.31,18.31,18.01,17.8,18.56,20.74,23.43,25.47,26.8,27.76,28.81,29.96,30.72,30.39,29.08,28.21,28.98,30.05,29.34,30.51,38.24,46.4,50.94,53.39,54.74,55.74,56.51,57.1,57.72,58.27,58.72,58.97,58.97,58.97,58.97,58.97,274,28,274,28
28,Forehead,274,29,,274_#0029,------,SCE,62.2,11.8,16.1,------,------,------,------,,16.74,16.74,16.74,16.74,16.74,16.1,15.7,16.4,18.48,20.93,22.79,24.09,24.98,26.18,27.58,28.46,28.1,26.9,26.15,26.34,27.01,26.99,28.16,34.34,41.35,46.13,49.1,50.87,52.24,53.36,54.16,55.07,55.92,56.67,57.14,57.14,57.14,57.14,57.14,274,29,274,29
28,Palm,276,2,,276_#0002,------,SCE,60.68,11.21,14,------,------,------,------,------,15.82,15.82,15.82,15.82,15.82,14.68,14.07,14.26,16.02,20.14,24.05,26.14,27.17,27.82,28.36,28.53,27.59,25.62,23.85,23.37,23.68,23.52,24.62,30.12,38.22,44.86,48.66,50.63,51.78,52.59,53.12,53.78,54.54,55.19,55.5,55.5,55.5,55.5,55.5,276,2,276,2
28,Forearm_inner,276,3,,276_#0003,------,SCE,66.7,6.96,14.29,------,------,------,------,------,20.49,20.49,20.49,20.49,20.49,19.52,18.82,19.12,21.48,26.29,30.24,32.15,33.2,34.1,34.84,35.23,34.93,33.76,32.3,31.82,32.25,32.56,34.02,38.85,45.11,49.48,52.01,53.25,54.08,54.63,55.06,55.63,56.16,56.64,56.9,56.9,56.9,56.9,56.9,276,3,276,3
28,Tricep,276,4,,276_#0004,------,SCE,68.74,5.61,13.58,------,------,------,------,------,23.74,23.74,23.74,23.74,23.74,22.55,21.7,22.01,24.53,29.15,32.66,34.41,35.42,36.48,37.42,38.05,37.86,36.8,35.61,35.24,35.56,35.73,37.03,41.75,47.43,51.24,53.11,54.03,54.58,54.98,55.3,55.62,55.91,56.2,56.25,56.25,56.25,56.25,56.25,276,4,276,4
28,Shoulder,276,5,,276_#0005,------,SCE,70.03,6.22,15.92,------,------,------,------,------,23.61,23.61,23.61,23.61,23.61,22.83,22.22,22.78,25.36,29.08,31.76,33.38,34.62,36.05,37.6,38.79,39.01,38.26,37.5,37.64,38.23,38.24,39.54,44.84,50.48,53.92,55.61,56.48,57.05,57.44,57.74,58.1,58.36,58.58,58.63,58.63,58.63,58.63,58.63,276,5,276,5
28,Cheek_L,276,6,,276_#0006,------,SCE,62.51,15.1,12.84,------,------,------,------,------,18.7,18.7,18.7,18.7,18.7,18.77,18.81,19.59,21.31,22.95,24.28,25.38,26.35,27.42,28.47,29.17,28.34,26.42,25.24,25.84,26.6,25.5,25.82,33.38,43.52,49.99,53.67,55.78,57.35,58.49,59.24,59.92,60.47,60.99,61.2,61.2,61.2,61.2,61.2,276,6,276,6
28,Cheek_R,276,7,,276_#0007,------,SCE,61.55,15.52,13.63,------,------,------,------,------,17.09,17.09,17.09,17.09,17.09,17.33,17.53,18.34,19.97,21.59,22.92,24,25,26.03,27.1,27.85,27.11,25.3,24.17,24.8,25.56,24.5,24.85,32.36,42.49,48.97,52.6,54.67,56.2,57.37,58.14,58.83,59.41,59.89,60.18,60.18,60.18,60.18,60.18,276,7,276,7
28,Forehead,276,8,,276_#0008,------,SCE,65.83,12.03,17.52,------,------,------,------,------,19.38,19.38,19.38,19.38,19.38,18.62,18.13,18.81,20.96,23.53,25.47,26.84,27.97,29.33,31.05,32.44,32.43,31.08,30.14,30.6,31.48,30.98,32.11,39.57,47.76,52.9,55.95,57.67,58.87,59.85,60.48,61.24,61.9,62.52,62.83,62.83,62.83,62.83,62.83,276,8,276,8
28,Palm,276,9,,276_#0009,------,SCE,62.37,10.84,14.25,------,------,------,------,------,17.39,17.39,17.39,17.39,17.39,16.18,15.59,15.99,17.96,21.81,25.17,27.02,28.03,28.82,29.64,30.08,29.35,27.6,26.03,25.73,26.12,25.79,26.71,32.39,40.56,46.89,50.5,52.31,53.43,54.18,54.64,55.19,55.73,56.21,56.39,56.39,56.39,56.39,56.39,276,9,276,9
28,Forearm_inner,276,10,,276_#0010,------,SCE,65.87,7.5,13.68,------,------,------,------,------,20.33,20.33,20.33,20.33,20.33,19.35,18.65,18.88,21.06,25.68,29.65,31.55,32.53,33.36,33.99,34.25,33.82,32.57,31.09,30.55,30.93,31.22,32.65,37.63,44.09,48.72,51.23,52.49,53.32,53.86,54.28,54.86,55.38,55.84,56.14,56.14,56.14,56.14,56.14,276,10,276,10
28,Tricep,276,11,,276_#0011,------,SCE,68.27,6.27,14.21,------,------,------,------,------,23.01,23.01,23.01,23.01,23.01,21.71,20.72,20.92,23.32,28.08,31.86,33.71,34.75,35.8,36.73,37.29,37.07,36.05,34.76,34.19,34.48,34.86,36.38,41.2,47.24,51.44,53.52,54.52,55.11,55.56,55.79,56.21,56.58,56.89,56.98,56.98,56.98,56.98,56.98,276,11,276,11
28,Shoulder,276,12,,276_#0012,------,SCE,70.45,5.62,15.56,------,------,------,------,------,24.4,24.4,24.4,24.4,24.4,23.51,22.84,23.44,26.1,29.86,32.52,34.08,35.3,36.72,38.25,39.45,39.71,39.05,38.34,38.46,39.03,39.09,40.32,45.33,50.62,53.75,55.41,56.22,56.75,57.14,57.36,57.71,57.94,58.12,58.15,58.15,58.15,58.15,58.15,276,12,276,12
28,Cheek_L,276,13,,276_#0013,------,SCE,61.5,15.41,13.59,------,------,------,------,------,17.12,17.12,17.12,17.12,17.12,17.39,17.6,18.41,19.99,21.54,22.82,23.89,24.9,25.93,27.02,27.78,27.07,25.28,24.14,24.8,25.63,24.57,24.88,32.23,42.24,48.51,52.31,54.46,56.06,57.28,58.05,58.79,59.37,59.91,60.16,60.16,60.16,60.16,60.16,276,13,276,13
28,Cheek_R,276,14,,276_#0014,------,SCE,61.59,15.42,13.92,------,------,------,------,------,16.79,16.79,16.79,16.79,16.79,17.05,17.28,18.14,19.83,21.48,22.81,23.92,24.96,26,27.11,27.86,27.15,25.32,24.2,24.87,25.68,24.57,24.94,32.51,42.59,48.95,52.57,54.63,56.16,57.32,58.11,58.84,59.38,59.88,60.15,60.15,60.15,60.15,60.15,276,14,276,14
